company_id,report_date,perimeter,tp_total,bel,risk_margin,tmtp,own_funds,scr,mcr,solvency_ratio,total_assets,investments,govt_bonds,corporate_bonds,ciu,equities,cash,excess_assets,market_risk,counterparty_risk,life_uw_risk,health_uw_risk,nonlife_uw_risk,diversification,bscr,operational_risk,lac_deferred_taxes,quality_flag,sourcedoc,source_note
NET_GROUP,2022-12-31,Group,310854,303421,7435,0,91156,52112,21500,1.7492,501425,214948,95233,43953,70998,4279,6795,83706,21413,10411,14688,5185,30848,-28895,53650,4722,-6260,O,SFCR_Net_2022,SFCR Gruppo Net Insurance 2022 (KPMG 11/05/2023); S.02.01.02 p.147-148; S.22.01.22 p.150; S.25.01.22 p.152; tabella copertura p.129
NET_SOLO,2022-12-31,Net Insurance SpA,,,,,91812,45661,,2.0107,,,,,,,4482,,,,217164,17164,25101,5101,30848,-16598,44482,3949,-2770,O,SFCR_Net_2022,EOF/SCR da SFCR Net 2022 tabella copertura p.129; breakdown SCR da SFCR PVG 2023 E.2 comparativo (valori 31.12.2022); cash 4.482 da sezione D
NIL_SOLO,2022-12-31,Net Insurance Life,,,,,33217,18940,,1.7535,,,,,,4479?,,,,,,,,,,,,,O,SFCR_Net_2022,EOF 33.217 / SCR 18.940 da tabella copertura p.129 (T1UR 27.141; T2 4.608; T3 1.467)
