company,scope,year,currency,bel,rm,tp_gross,tmtp,eof_scr,scr,mcr,solvency_ratio,eof_mcr,va_impact_tp,va_impact_eof,tmtp_impact_eof,source,source_ref,quality_note
PV_GROUP,group,2019,EUR_k,,,"132764862",1908091,11468565,3675204,1653842,312.00,9889028,537028,-371396,-1320017,SFCR_PVG_2019_EN,"S.22.01.22 gruppo: TP 132.764.862, TMTP 1.908.091, VA->0 TP 537.028/EOF -371.396; E.1: EOF 11.468.565 (T1UR 9.628.928, T2 1.839.638); E.2: SCR 3.675.204, ratio 312.00%, MCR 1.653.842",verified
PV_GROUP,group,2020,EUR_k,,,"147434522",1749084,11193573,3739960,,299.27,9580778,669737,-463295,-1210016,SFCR_PVG_2020_EN,"S.22.01.22 gruppo: TP 147.434.522, TMTP 1.749.084, VA->0 TP 669.737/EOF -463.295; senza TMTP/VA: TP 149.853.342, EOF 7.907.467; E.1: EOF 11.193.573 (T1UR 9.323.403, T2 1.870.170); E.2: ratio 299.27%; SCR [E-derived] 11.193.573/2.9927=3.739.960 (testo: ~3.740 mln)",verified
