entity,ref_date,scope,market_risk,counterparty_risk,life_uw_risk,health_uw_risk,nonlife_uw_risk,diversification,bscr,operational_risk,lac_tp,lac_deferred_taxes,scr_addon,scr,source,quality
PV_GROUP,2021-12-31,gross (SFCR 2021 narrative),,,4396571,,,,,,,,,4441175,SFCR_2021 E.2 p.161,O
PV_GROUP,2022-12-31,gross before LAC TP (SFCR 2022 QRT),7613259,300286,13469741,113797,40176,-4352328,17184931,675079,-11299794,-1596629,92405,5055992,SFCR_2022 S.25.01.22 p.159,O
PV_GROUP,2022-12-31,net of LAC TP (SFCR 2023 comparative),2253884,300286,4750934,113797,40176,-1573938,5885137,675079,,-1504224,,5055992,SFCR_2023 E.2 comparativa,O (LAC DT derived)
PV_SOLO,2022-12-31,net of LAC TP (SFCR 2023 comparative),2300953,288692,4750934,13862,0,-1482140,5872301,663774,,-1569658,,4967417,SFCR_2023 E.2 comparativa,O
PV_SOLO,2021-12-31,gross,,,,,,,,,,,44604,,4441175,SFCR_2021 E.2 (SCR ex add-on 4396571 + addon 44604),O
