company,scope,year,currency,bel,rm,tp_gross,tp_net,tmtp,eof_scr,tier1_unrestricted,tier1_restricted,tier2,scr,mcr,solvency_ratio,assets,investments_r0070,financial_investments_total,govt_bonds,cash,excess_assets_over_liabilities,va_impact_tp,va_impact_eof,va_impact_scr,source,source_ref,quality_note
PV_GROUP,group,2023,EUR_k,141463778,4278043,145741821,145496901,0,14098823,12079749,,2019074,4591654,,307.05,165107921,143744832,,88535811,3790519,12093900,571199,-393674,,SFCR_PVG_2023_EN,D.2 TP table; S.22.01.21 LTG; S.23.01 R0660/R0680/R0690; S.02.01.02 R0500/R0410; TMTP=0 p.119,verified
PV_GROUP,group,2024,EUR_k,148744706,3574559,152319265,152039107,0,13920129,11120171,778308,2021650,4314983,,322.60,171781131,,162314852,90338926,4690070,12650497,572475,-393517,24043,SFCR_PVG_2024_EN,D.2 TP table; S.22.01.22 p.117; S.23.01 R0660/R0680/R0690/R0700; S.02.01.02 R0500/R0410 p.114,verified
PV_SOLO,solo,2023,EUR_k,,,,,,,,,,,,4532196,2039488,310.65,,,,,,,,,,SFCR_PVG_2023_EN,E.2 MCR table; SCR 2023 4.532.196 (da 4.967.417),verified
