ref_date,sheet,maturity,rate,va_bps,quality,source_file,source_doclib_id
2021-12-31,with_VA,18,0.00444,3,verified,EIOPA_RFR_20211231_Term_Structures.xlsx,bcb37782-1d49-4145-9830-c25462ef7158
2021-12-31,with_VA,19,0.00458,3,verified,EIOPA_RFR_20211231_Term_Structures.xlsx,bcb37782-1d49-4145-9830-c25462ef7158
2021-12-31,with_VA,20,0.00486,3,verified,EIOPA_RFR_20211231_Term_Structures.xlsx,bcb37782-1d49-4145-9830-c25462ef7158
2022-05-31,no_VA,1,0.00380,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,2,0.00984,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,3,0.01204,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,4,0.01332,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,5,0.01424,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,6,0.01502,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,7,0.01572,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,8,0.01641,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,9,0.01708,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,10,0.01770,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,11,0.01827,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,12,0.01871,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,13,0.01907,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,14,0.01931,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,15,0.01939,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,16,0.01929,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,17,0.01910,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,18,0.01890,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,19,0.01874,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,no_VA,20,0.01866,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,1,0.00520,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,2,0.01124,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,3,0.01344,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,4,0.01472,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,5,0.01564,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,6,0.01642,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,7,0.01712,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,8,0.01781,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,9,0.01848,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,10,0.01910,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,11,0.01967,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,12,0.02011,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,13,0.02047,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,14,0.02071,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,15,0.02079,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,16,0.02069,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,17,0.02050,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,18,0.02030,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,19,0.02014,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-05-31,with_VA,20,0.02006,14,verified,EIOPA_RFR_20220531_Term_Structures.xlsx,daf05683-5451-4a68-ae6d-55a17678ed3a
2022-09-30,no_VA,1,0.02378,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,2,0.02725,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,3,0.02792,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,4,0.02837,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,5,0.02873,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,6,0.02901,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,7,0.02920,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,8,0.02943,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,9,0.02967,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,10,0.02992,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,11,0.03006,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,12,0.03018,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,13,0.03020,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,14,0.03006,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
